ID,LTV,CLTV,Orig_Bal,Orig_Term,Orig_Rate,State,FICO,Occupancy,Type
1,80,100,375200,360,8.5,CA,624,OO,ARM
2,80,100,380000,480,6.99,NY,648,OO,ARM
3,90,90,61200,360,8.75,IN,630,IO,Fix
4,20,100,52000,360,11.9,IL,616,OO,Fix
5,80,100,156000,360,8.3,IL,690,OO,ARM
6,89.32,89.32,236700,480,8.98,FL,557,OO,ARM
7,75,75,300000,360,10.05,WA,532,OO,ARM
8,79.31,79.31,115000,360,8.99,NJ,540,OO,ARM
9,80,100,236000,480,7.6,FL,627,OO,ARM
10,85.48,85.48,530000,360,6.2,CA,704,OO,Fix
11,100,100,125000,480,8.75,MD,641,OO,ARM
12,80,80,101600,360,8.5,TX,582,OO,Fix
13,80,100,300000,360,7.45,MN,633,OO,ARM
14,73.86,73.86,243750,360,9.375,FL,511,OO,ARM
15,95,95,104500,360,9.2,IN,622,IO,ARM
16,90,90,229500,360,8.55,IL,531,OO,ARM
17,90,90,103500,240,7.99,OH,628,OO,Fix
18,95,95,617500,360,9.75,CA,633,OO,ARM
19,42.9,42.9,148000,360,8.65,CA,548,OO,ARM
20,70,70,150500,360,9.45,FL,538,OO,ARM
21,20,100,115000,360,11.7,HI,613,OO,Fix
22,88.42,93.42,50400,360,8.5,LA,706,IO,ARM
23,90,90,355500,480,7.99,CA,659,OO,ARM
24,78.87,78.87,76500,360,8.95,LA,623,IO,ARM
25,80,100,432000,360,7.5,CT,663,OO,ARM
26,90,90,157500,360,8.25,IL,607,OO,ARM
27,79.73,99.73,209200,480,8.2,CA,603,OO,ARM
28,90,90,220500,360,7.25,FL,631,OO,ARM
29,88.1,88.1,185000,480,8.5,NJ,660,OO,ARM
30,75,75,193500,360,10.4,AZ,515,OO,ARM
31,80,100,280000,360,7.75,CA,602,OO,ARM
32,80,80,97200,360,8.35,TX,557,OO,Fix
33,82.05,82.05,80000,360,7.2,MD,750,IO,Fix
34,80,100,180000,360,7.85,CT,643,OO,ARM
35,90,90,274500,360,9.6,TX,764,IO,ARM
36,75,75,154500,360,8.99,IL,524,OO,ARM
37,90,100,94500,360,10.05,TX,569,OO,ARM
38,80,100,488000,360,6.75,CA,628,OO,ARM
39,85,85,106675,480,8.3,FL,540,OO,ARM
40,85,85,409080,360,9,FL,510,OO,ARM
41,64.71,64.71,110000,360,8.25,AZ,549,OO,ARM
42,90,90,337500,360,8.5,CA,692,OO,ARM
43,90,90,139500,360,9.65,MD,641,IO,ARM
44,77.7,77.7,115000,360,12.35,MI,518,OO,ARM
45,75,75,296250,360,9.5,FL,558,OO,ARM
46,95,95,185250,360,6.8,FL,607,OO,Fix
47,80,100,311200,480,7.15,NY,656,OO,ARM
48,90,90,214200,480,8.99,PA,556,OO,Fix
49,90,100,158400,360,9.25,WI,643,IO,ARM
50,80,100,145600,360,7.8,IL,606,OO,ARM
51,90,90,126900,360,8.9,FL,603,OO,ARM
52,84.87,84.87,314000,360,7.25,RI,680,OO,Fix
53,80,100,274152,360,7.85,CA,638,OO,ARM
54,89.05,89.05,84600,360,7.65,OH,657,OO,Fix
55,90,90,585000,480,8.8,CA,658,OO,ARM
56,90,100,118800,360,9.05,MI,553,OO,Fix
57,90,90,436500,360,6.99,CA,619,OO,ARM
58,80,100,262032,360,7.5,NY,647,OO,ARM
59,90,90,247500,360,10,IL,619,IO,ARM
60,85,85,225250,360,7.25,NJ,687,OO,Fix
61,95,95,128250,480,8.49,CT,568,OO,Fix
62,77.15,77.15,260000,360,8.4,MD,565,OO,ARM
63,20,100,45000,360,11.65,FL,627,OO,Fix
64,90,100,50400,360,8.99,TX,667,IO,ARM
65,85,100,76500,360,8.35,OH,524,OO,Fix
66,20,100,47000,360,11.99,FL,604,OO,Fix
67,90,90,240300,360,9.5,IL,621,IO,ARM
68,90,90,169200,360,10.45,MD,603,IO,ARM
69,95,95,380000,360,7.8,NY,718,SH,ARM
70,80,100,440000,480,8.45,CA,661,OO,ARM
71,92.21,92.21,172437,360,9.1,IL,587,OO,ARM
72,80,100,95920,360,8.3,OH,536,OO,Fix
73,80,100,232000,360,6.85,FL,665,OO,ARM
74,80,80,368000,360,8.9,CA,554,OO,ARM
75,80,100,684000,360,7,NY,768,OO,ARM
76,57.31,57.31,192000,480,6.99,IL,587,OO,Fix
77,84.99,84.99,450000,360,7.99,CA,609,OO,ARM
78,90,90,296991,480,8.99,FL,557,OO,ARM
79,90,100,57510,360,10.45,MI,552,OO,ARM
80,69.05,69.05,255500,360,11.65,CA,547,OO,ARM
81,95,95,66500,360,9.275,IN,633,OO,Fix
82,95,95,212800,480,7.8,CA,748,OO,ARM
83,90,90,131400,480,8.65,OH,613,OO,ARM
84,92.83,92.83,207000,360,7.85,MD,605,OO,ARM
85,80,100,268000,480,6.99,CO,618,OO,ARM
86,90,90,380610,480,9.99,CA,598,OO,ARM
87,95,95,142500,480,11.5,TX,606,OO,Fix
88,80,100,195992,360,8.25,FL,645,OO,ARM
89,80,100,560000,360,6.65,CA,649,OO,ARM
90,85,85,61200,360,9.15,TX,597,OO,Fix
91,90,90,427500,480,8.85,AZ,693,IO,ARM
92,81.63,81.63,200000,480,8.35,AZ,577,OO,ARM
93,83.11,83.11,374000,360,7.25,IL,631,OO,ARM
94,90,90,279801,360,10.487,TX,552,OO,ARM
95,95,95,161500,360,7.75,OH,754,OO,Fix
96,80,100,508000,480,7.9,CA,629,OO,ARM
97,45,45,315000,360,8,NJ,569,OO,ARM
98,20,100,57000,360,11.75,NV,643,OO,Fix
99,85,85,87550,360,10.5,PA,556,IO,ARM
100,84.02,84.02,122000,300,10.1,MS,560,OO,Fix
101,80,100,500000,480,7.75,CA,660,OO,ARM
102,89.24,89.24,340000,360,6.55,OH,662,OO,ARM
103,80,100,109600,360,7.35,KS,637,OO,ARM
104,94.81,94.81,251250,360,7.8,AZ,635,OO,ARM
105,80,100,242400,360,9.075,RI,643,OO,ARM
106,80,100,159200,360,8.05,AZ,600,OO,ARM
107,80,100,260000,480,7.65,CA,719,OO,ARM
108,20,100,76000,360,12.45,WA,621,OO,Fix
109,75,75,93750,360,10.3,MO,546,OO,Fix
110,88.53,88.53,165100,360,8.9,NC,579,OO,Fix
111,90,90,112500,360,9.7,PA,548,OO,Fix
112,89.68,89.68,116150,360,7.25,PA,695,OO,Fix
113,90,90,387000,360,8.99,NY,534,OO,ARM
114,79.1,79.1,395500,480,7,NJ,581,OO,ARM
115,75.67,75.67,454000,360,6.85,NJ,589,OO,Fix
116,80,80,136000,360,7.95,PA,617,OO,Fix
117,90,100,101700,360,9.3,TX,612,OO,ARM
118,80,100,543440,360,6.8,FL,640,OO,ARM
119,85,85,119000,360,8.9,AL,531,OO,ARM
120,95,95,228000,360,7.8,FL,719,OO,ARM
121,85,85,301750,360,9.45,CA,560,OO,ARM
122,95,95,211850,480,9.5,IL,582,OO,ARM
123,89.93,89.93,164700,360,8,WY,520,OO,ARM
124,90,90,477000,360,8.8,FL,534,OO,ARM
125,90,90,157500,360,10.2,FL,666,OO,Fix
126,75,75,412500,360,9.2,HI,547,OO,ARM
127,80,80,168000,360,7.99,PA,588,OO,ARM
128,55.94,55.94,565000,480,7.3,CA,538,OO,ARM
129,80,100,290320,360,6.95,UT,663,OO,ARM
130,88.76,88.76,395000,360,7.65,CA,625,OO,ARM
131,80,100,242944,480,8.55,NJ,645,OO,ARM
132,90,90,88200,360,8.99,TN,623,IO,Fix
133,80,80,64000,360,7.75,FL,712,IO,ARM
134,90,90,112500,360,10.3,PA,516,OO,ARM
135,95,95,316350,360,10.65,RI,638,IO,ARM
136,90,90,229500,360,10,TN,511,OO,ARM
137,90,90,120600,360,7.99,OH,585,OO,ARM
138,50,50,135000,480,7.5,CA,715,OO,ARM
139,80,100,220000,360,8.3,IL,649,OO,ARM
140,100,100,165000,360,10.85,SC,628,OO,ARM
141,90,90,216000,360,8.99,IL,698,IO,ARM
142,80,80,273600,480,6.85,CA,570,OO,ARM
143,80,100,300000,360,7.99,CA,631,OO,ARM
144,80,100,140000,360,7.5,FL,684,OO,ARM
145,95,95,72200,360,8.49,TX,595,OO,Fix
146,90,90,232200,360,9.99,IL,559,OO,ARM
147,80,100,116000,360,7.99,FL,635,OO,ARM
148,89.51,89.51,145000,360,10.55,PA,502,OO,Fix
149,70,70,176610,360,12.65,AZ,568,OO,ARM
150,80,80,800000,360,7.9,MD,534,OO,ARM
151,90,90,67410,360,11.1,IN,538,OO,ARM
152,90,90,132300,360,9.3,FL,514,OO,ARM
153,21.92,21.92,160000,360,8.7,CA,564,OO,Fix
154,85,85,182750,360,9.5,IL,633,OO,ARM
155,84.38,84.38,67500,360,9.75,MI,541,OO,ARM
156,75,75,105000,360,9.25,NC,533,OO,ARM
157,89.62,89.62,211500,480,8.8,FL,587,OO,ARM
158,75,100,113550,360,9.75,UT,530,OO,ARM
159,80,100,184000,360,7.65,WI,602,OO,ARM
160,85,100,59500,360,8.2,TX,546,OO,ARM
161,76.92,76.92,50000,360,9.237,OH,529,OO,Fix
162,17.39,17.39,60000,360,10.25,MA,527,OO,ARM
163,58.7,58.7,135000,480,7.75,MD,609,OO,Fix
164,90,100,139500,360,11.1,KY,560,OO,Fix
165,83.15,83.15,157988,360,7.125,LA,690,OO,ARM
166,89.99,89.99,161900,360,8.95,CO,635,IO,ARM
167,95,100,55100,360,10.55,IA,748,OO,ARM
168,80,100,528000,360,8.25,CA,651,OO,ARM
169,80,100,287200,480,8.95,NJ,652,OO,ARM
170,74.42,74.42,320000,360,9.2,NY,547,OO,ARM
171,69,69,137300,360,9.35,AZ,533,IO,ARM
172,95,95,264100,360,7.5,MN,616,OO,Fix
173,86.02,86.02,80000,360,7.5,IA,644,OO,Fix
174,77.27,77.27,850000,360,8.8,NJ,574,OO,ARM
175,95,95,228000,360,9.25,WI,526,OO,ARM
176,85,99.9,80983,360,9.25,WI,713,OO,Fix
177,94.67,94.67,231000,360,9.65,IL,625,OO,ARM
178,80.59,80.59,54800,360,10.75,MS,510,OO,ARM
179,69.22,69.22,470000,360,8.5,NJ,562,OO,ARM
180,81.86,81.86,352000,480,7.65,NY,630,OO,ARM
181,90,90,198000,360,7.75,NM,577,OO,ARM
182,95,95,131955,360,8.75,TX,630,OO,Fix
183,28.79,28.79,178500,360,9.5,NY,517,OO,ARM
184,85,85,276250,360,7.75,FL,606,OO,ARM
185,57.14,57.14,120000,480,7.15,FL,647,OO,Fix
186,90,90,133200,360,8,OH,563,OO,Fix
187,80,100,518400,480,7.75,CA,723,OO,ARM
188,80,100,159200,480,7.85,FL,684,OO,ARM
189,20,100,73980,360,11.35,MD,614,OO,Fix
190,85,85,110500,360,9.05,MN,565,OO,ARM
191,79.37,79.37,499999,360,7.2,AZ,604,OO,ARM
192,80,100,104800,360,9.85,WI,522,OO,ARM
